"source"	"target"
"#"	"0xc3c3c3"
"of"	"of"
"#All"	"0xc3c3c3"
"#all tasks"	"0xc3c3c3"
"#approved"	"0x24A05B"
"#Approved"	"0x24A05B"
"#approved followup"	"0x6ACE61"
"#ApprovedFollowup"	"0x6ACE61"
"#awaiting approval"	"0xC6E47D"
"#AwaitingApproval"	"0xC6E47D"
"#checklist closed"	"0x24A05B"
"#checklist open"	"0xE83438"
"#completed"	"0xF7EA3E"
"#Completed"	"0xF7EA3E"
"#green"	"0x24A05B"
"#inbox"	"0xE83438"
"#Inbox"	"0xE83438"
"#none"	"0xAAAAAA"
"#ongoing"	"0xEF8235"
"#Ongoing"	"0xEF8235"
"#red"	"0xE83438"
"#rejected"	"0xF7C425"
"#Rejected"	"0xF7C425"
"#selectioncolor"	"0xDAEBBF"
"#yellow"	"0xF7EA3E"
"(element ...)"	"(elemento...)"
"(multiple)"	"(mЩltiplos)"
"(no deadline)"	"(sem deadline)"
"(No photo)"	"Tirar foto"
"(No superior)"	"(Sem superior)"
"(No title)"	"(Sem tьtulo)"
"(none)"	"(nenhum)"
"(Not set)"	"(Nсo configurado)"
"(Photo)"	"Retomar"
"(room ...)"	"(cЗmodo...)"
"(unspecified)"	"(nсo especificado)"
"{0} of {1}"	"{0} of {1}"
"{0} unsent message"	"{0} mensagem nсo enviada"
"{0} unsent messages"	"{0} mensagens nсo enviadas"
"0 tasks for {0}"	"0 tasks for {0}"
"A client error occured"	"A client error occured.nDalux has been notified."
"A main responsbile cannot be removed"	"Um responsрvel principal nсo pode ser removido"
"Accept"	"Aceitar"
"Accept eula"	"Aceitar nossos <a href='eula.htm' target='_blank'>termos e condiушes</a>"
"Account expired (admin)"	"<center><br/><br/>Dalux Field project ""{0}"" has expired.<br/><br/>Contact Dalux to reactivate your project.<br/><br/>&nbsp;</center>"
"Account expired (user)"	"<center><br/><br/>Dalux Field project ""{0}"" has expired.<br/><br/>Contact the IT administrator to reactivate your project.<br/><br/>&nbsp;</center>"
"accuracy"	"precisсo"
"Active user"	"Usuрrio ativo"
"add"	"Adicionar"
"Add"	"Adicionar"
"Add building"	"Add building"
"Add criteria"	"Add criteria"
"Add information"	"Adicionar informaусo"
"Add new registration"	"Add new registration"
"Add new role"	"Adicionar nova funусo"
"Add other user"	"Adicionar outro usuрrio"
"Add other user..."	"Adicionar outro usuрrio..."
"Add person"	"Adicionar pessoa"
"Add persons"	"Add persons"
"Add photo"	"Add photo"
"Add project user"	"Adicionar usuрrio de empreendimento"
"Add quick field"	"Adicionar tьtulo rрpido"
"add subordinate warning"	"Você está prestes a adicionar um subordinado a:n{0} ({1})nnProceder?"
"add subordinate warning"	"VocЖ estр prestes a adicionar uma funусo sob {1} no contrato {1}.nnContinuar?"
"Add zone"	"Add zone"
"added"	"Adicionado"
"Added"	"Adicionado"
"Address"	"Endereуo"
"Address 1"	"Endereуo 1"
"Address 2"	"Endereуo 2"
"Address book"	"Contacts"
"address1"	"Endereуo 1"
"address2"	"Endereуo 2"
"administration"	"Administraусo"
"Administration"	"Administraусo"
"Administrator"	"Administrador"
"administrators"	"Administrador"
"administrators"	"Administradores"
"Advanced"	"Avanуado"
"Advanced filter"	"Advanced"
"After"	"Depois"
"alert delete role"	"Tem certeza de que deseja deletar esta funусo?nnTarefas atribuьdas a {0} permanece disponьvel para {1} sob Њem cursoћ."
"all"	"Tudo"
"All"	"Tudo"
"All (folder)"	"Todas as tarefas"
"All contracts"	"Todos os contratos"
"All tasks"	"Todas as tarefas"
"All tasks (folder)"	"Todas as tarefas"
"All tasks will be deleted"	"Tarefas e rascunhos nсo enviados serсo perdidos"
"All users"	"Todos os usuрrios"
"all_users"	"Todos os usuários"
"all_users"	"Todos os usuрrios"
"Allow cookies"	"Permitir cookies  (<a href='cookies.htm' target='_blank'>read more</a>)"
"Allow create tasks"	"Permitir criar tarefas"
"Allow create tasks colleagues"	"Permitir criar tarefas para colegas"
"Allow create users"	"Permitir criar usuрrios"
"already created"	"jр criado"
"already exists"	"jр existe"
"Altered"	"Alterado"
"Annotate"	"Anotar na foto"
"Anonymous user"	"Usuрrio anЗnimo"
"Approve"	"Aprovar, fechar"
"Approve followup"	"Aprovar, acompanhar"
"Approved"	"Aprovado, fechado"
"Approved (date)"	"Aprovado"
"Approved (folder)"	"Aprovado"
"Approved by"	"Aprovado, fechado por"
"Approved closed (folder)"	"Aprovado, fechado"
"Approved followup"	"Aprovado, acompanhar"
"Approved followup (folder)"	"Aprovado, acompanhar"
"Approved, followup by"	"Aprovado, acompanhar por"
"ApprovedFollowup (folder)"	"Aprovado, acompanhar"
"Architecture (model)"	"Arquitetura"
"Archive (folder)"	"Completo"
"Are you sure you want to delete building ""{0}""?"	"Are you sure you want to delete the building ""{0}""?"
"Are you sure you want to delete this checklist?"	"Are you sure you want to delete this checklist?"
"Are you sure you want to delete this control plan?"	"Are you sure you want to delete this inspection plan?"
"area"	"┴rea"
"Area (discipline)"	"┴rea"
"AreaPlan"	"Areal plans"
"arrow"	"Seta"
"Ascending A-Z"	"Ascending A-Z"
"Assign"	"Designar"
"Assign to"	"Designar a"
"assigned"	"Designado"
"Assigned"	"Designado"
"Assigned by"	"Designado por"
"Assigned to"	"Designado a"
"Assigned to"	"Designado a"
"Assigned to {0}"	"Designado a <u>{0}</u>"
"assignee"	"Atribuьdo"
"Assignee"	"Atribuьdo"
"Associate checklist"	"Associate with checklist"
"Associated checklist"	"Checklist associada"
"Association comment"	"Comment on association"
"Attention to"	"Att"
"Auto"	"Auto"
"Available offline"	"Disponьvel offline"
"Awaiting approval (folder)"	"Aguardando aprovaусo"
"AwaitingApproval (folder)"	"Aguardando aprovaусo"
"back"	"Voltar"
"Back"	"Voltar"
"Bar"	"Barra"
"Base data"	"Dados de base"
"Before"	"Antes"
"BIM object"	"Parte do edifьcio"
"BIM object type"	"Tipo de parte do edifьcio"
"bottom right"	"inferior direita"
"box"	"Caixa"
"Bring to front"	"Bring to front"
"Building"	"Edifьcio"
"Building incomplete"	"Edifьcio indisponьvel"
"Building is not ready"	"Building is not ready"
"Building name"	"Nome do edifьcio"
"Building overview"	"Vista geral do edifьcio"
"Building status"	"Status do edifьcio"
"building updated?"	"Edifьcio nсo encontrado. Reposicionamento requisitado. O material de desenho foi atualizado?"
"building_incomplete"	"Edifьcio indisponьvel"
"building_incomplete_text"	"O edifьcio foi atualizado recentemente e estр sendo preparado para ser exibido no dispositivo mзvel. O edifьcio estр temporariamente indisponьvel"
"building_model_analysing"	"O edifьcio estр sendo analisado."
"building_model_not_uploaded"	"O upload do modelo do edifьcio ainda nсo foi feito."
"building_model_pending"	"O edifьcio estр agendado para anрlise."
"building_model_queued_reanalysis"	"No momento o edifьcio estр na fila para reanрlise"
"building_model_waiting"	"No momento o edifьcio estр na fila para anрlise"
"building_name"	"Nome do edifício"
"building_name"	"Nome do edifьcio"
"building_name_cannot_be_empty"	"O nome do edifício não pode ficar vazio!"
"building_name_cannot_be_empty"	"O nome do edifьcio nсo pode ficar vazio!"
"building_overview"	"Vista geral do edifьcio"
"buildings"	"Edifьcios"
"Buildings"	"Edifьcios"
"by"	"por"
"Can be approved upon creation"	"Pode ser aprovado depois da criaусo"
"Can delete when"	"It is only possible to delete all tasks when there are less than 50 tasks in the project."
"cancel"	"Cancelar"
"Cancel"	"Cancelar"
"CANCEL"	"CANCELAR"
"Cancel changes"	"Descartar mudanуas"
"Cannot remove project owner"	"Nсo pode remover o dono do empreendimento"
"Category"	"Categoria"
"Caution"	"Cuidado"
"CeilingPlan"	"Ceiling plans"
"change"	"Mudar"
"Change"	"Mudar"
"Change location"	"Change location"
"Change to automatic publishing"	"Change to automatic publishing"
"Change to manual publishing"	"Change to manual publishing"
"change..."	"Mudar..."
"changed"	"modificado"
"changed from"	"modificado de"
"changed_by"	"Modificado por"
