"source","target"
"","da-dk"
"of","af"
"(element ...)","(element ...)"
"(multiple)","(flere)"
"(no deadline)","(ingen deadline)"
"(No photo)","Tag foto"
"(No superior)","(Ingen overordnet)"
"(No title)","(Ingen titel)"
"(none)","(ingen)"
"(Not set)","(Ikke angivet)"
"(Photo)","Tag om"
"(room ...)","(rum ...)"
"(unspecified)","(ikke angivet)"
"{0} of {1}","{0} af {1}"
"{0} unsent message","{0} besked ikke sendt"
"{0} unsent messages","{0} beskeder ikke sendt"
"0 tasks for {0}","0 opgaver for {0}"
"A client error occured","Der skete en fejl i brugerfladen.nDalux er blevet underrettet."
"A main responsbile cannot be removed","En hovedansvarlig kan ikke fjernes"
"Accept","Accepter"
"Accept eula","Accepter vores <a href='eula.htm' target='_blank'>betingelser</a>"
"Account expired (admin)","<center><br/><br/>Dalux Field-projektet ""{0}"" er udløbet.<br/><br/>Kontakt Dalux for at få genaktiveret projektet.<br/><br/>&nbsp;</center>"
"Account expired (user)","<center><br/><br/>Dalux Field-projektet ""{0}"" er udløbet.<br/><br/>Kontakt IT-administrator for at få genaktiveret projektet.<br/><br/>&nbsp;</center>"
"accuracy","nøjagtighed"
"Active user","Aktiv bruger"
"add","Tilføj"
"Add","Tilføj"
"Add building","Tilføj bygning"
"Add criteria","Tilføj kriterie"
"Add information","Tilføj information"
"Add new registration","Tilføj ny registrering"
"Add new role","Tilføj ny rolle"
"Add other user","Tilføj anden bruger"
"Add other user...","Tilføj anden bruger..."
"Add person","Tilføj person"
"Add persons","Tilføj personer"
"Add photo","Tilføj billede"
"Add project user","Tilføj projektbruger"
"Add quick field","Tilføj hurtig-emne"
"add subordinate warning","Du er ved at tilføje en underordnet til: n{0} ({1})nnØnsker du dette?"
"add subordinate warning","Du er ved at tilføje en rolle under {0} på entreprisen {1}.nnForsæt?"
"Add zone","Tilføj zone"
"added","Tilføjet"
"Added","Tilføjet"
"Address","Adresse"
"Address 1","Adresse 1"
"Address 2","Adresse 2"
"Address book","Kontakter"
"address1","Adresse 1"
"address2","Adresse 2"
"administration","Administration"
"Administration","Administration"
"Administrator","Administrator"
"administrators","Administrator"
"administrators","Administratorer"
"Advanced","Avanceret"
"Advanced filter","Avanceret"
"After","Efter"
"alert delete role","Er du sikker på at du vil slette denne rolle?nnOpgaver tildelt til {0} vil fortsat være at finde for {1} under ""Igangværende"""
"all","Alle"
"All","Alle"
"All (folder)","Alle opgaver"
"All contracts","Alle entrepriser"
"All tasks","Alle opgaver"
"All tasks (folder)","Alle opgaver"
"All tasks will be deleted","Ikke sendte opgaver og kladder vil gå tabt"
"All users","Alle brugere"
"all_users","Alle brugere"
"all_users","Alle brugere"
"Allow cookies","Tillad cookies (<a href='cookies.htm' target='_blank'>læs mere</a>)"
"Allow create tasks","Kan oprette opgaver"
"Allow create tasks colleagues","Kan oprette opgaver til kollegaer"
"Allow create users","Kan oprette brugere"
"already created","eksisterer allerede"
"already exists","eksisterer allerede"
"Altered","Ændret"
"Annotate","Marker på foto"
"Anonymous user","Anonym bruger"
"Approve","Godkend, luk"
"Approve followup","Godkend, opfølgning"
"Approved","Godkendt, lukket"
"Approved (date)","Godkendt"
"Approved (folder)","Godkendte"
"Approved by","Godkendt, lukket af"
"Approved closed (folder)","Godkendte, lukkede"
"Approved followup","Godkendt, opfølgning"
"Approved followup (folder)","Godkendte, opfølgning"
