"","de-de"
"of","von"
"(element ...)","(Element)"
"(multiple)","(mehrere)"
"(no deadline)","(Keine Abgabefrist)"
"(No photo)","Nimm Foto"
"(No superior)","(Kein übergeordneter)"
"(No title)","(Ohne Titel)"
"(none)","(Kein / keine)"
"(Not set)","(nicht angegeben)"
"(Photo)","Nimm "
"(room ...)","(Raum)"
"(unspecified)","(undefiniert)"
"{0} of {1}","{0} von {1}"
"{0} unsent message","{0} Nachricht nicht gesendet"
"{0} unsent messages","{0} Nachrichten nicht gesendet"
"0 tasks for {0}","0 Aufgaben für {0}"
"A client error occured","Es ist ein Fehler in der Projektoberfläche aufgetreten.\nDalux ist benachrichtet. "
"A main responsbile cannot be removed","Ein Hauptverantwortlicher kann nicht entfernt werden"
"Accept","Akzeptier"
"Accept eula","Akteptier unsere  <a href='EULA.htm' target='_blank'>Bedingungen</a>"
"Account expired (admin)","<center><br/><br/>Dalux Feld -Projekt ""{0}"" ist ausgelaufen.<br/><br/>Nimm Kontakt mit Dalux auf, um das Projekt wieder zu reaktivieren.<br/><br/>&nbsp;</center>   "
"Account expired (user)","<center><br/><br/>Dalux Feld-Projket ""{0}"" ist ausgelaufen.<br/><br/>Nimm Kontakt mit Dalux IT-Administration auf, um das Projekt wieder zu reaktivieren.<br/><br/>&nbsp;</center>"
"accuracy","Genauigkeit"
"Active user","Akitven Benutzer"
"add","Hinzufügen"
"Add","Hinzufügen"
"Add building","Gebäude hinzufügen"
"Add criteria","Kriterium hinzufügen"
"Add information","Information hinzufügen"
"Add new registration","Neue Registrirung hinzufügen"
"Add new role","Neue Rolle hinzufügen"
"Add other user","Anderen Benutzer hinzufügen"
"Add other user...","Anderen Benutzer hinzufügen…"
"Add person","Person hinzufügen"
"Add persons","Personen hinzufügen"
"Add photo","Bild hinzufügen"
"Add project user","Projektbenutzer hinzufügen"
"Add quick field","Quick-Tema hinzufügen"
"add subordinate warning","Sie sind dabei einen Untergeordneten hinzuzufügen nach \n{0} ({1})\n\nIst das erwünscht?"
"add subordinate warning","Sie sind dabei einen Untergeordneten hinzuzufügen nach \n{0} ({1})\n\nIst das erwünscht?"
"Add zone","Zone hinzufügen"
"added","Hinzugefügt"
"Added","Hinzugefügt"
"Address","Adresse"
"Address 1","Adresse 1"
"Address 2","Adresse 2"
"Address book","Kontakte"
"address1","Adresse 1"
"address2","Adresse 2"
"administration","Administration"
"Administration","Administration"
"Administrator","Administrator"
"administrators","Administrator"
"administrators","Administrator"
"Advanced","Erweitert"
"Advanced filter","Erweitert"
