#	0xc3c3c3
of	/
#All	0xc3c3c3
#all tasks	0xc3c3c3
#approved	0x24A05B
#Approved	0x24A05B
#approved followup	0x6ACE61
#ApprovedFollowup	0x6ACE61
#awaiting approval	0xC6E47D
#AwaitingApproval	0xC6E47D
#checklist closed	0x24A05B
#checklist open	0xE83438
#completed	0xF7EA3E
#Completed	0xF7EA3E
#green	0x24A05B
#inbox	0xE83438
#Inbox	0xE83438
#none	0xAAAAAA
#ongoing	0xEF8235
#Ongoing	0xEF8235
#red	0xE83438
#rejected	0xF7C425
#Rejected	0xF7C425
#selectioncolor	0xDAEBBF
#yellow	0xF7EA3E
(element ...)	(elementti ...)
(multiple)	(useita)
(no deadline)	(ei määräaikaa)
(No photo)	Ota kuva
(No superior)	(ei ylempää)
(No title)	(Ei otsikkoa)
(none)	(ei mitään)
(Not set)	(ei määritelty)
(Photo)	Ota uusiksi
(room ...)	(huone ...)
(unspecified)	(ei määritelty)
{0} of {1}	{0}/{1}
{0} unsent message	{0} lähettämätön viesti
{0} unsent messages	{0} lähettämättömiä viestejä
0 tasks for {0}	0 tehtävää {0}
A client error occured	Tapahtui asiakasvirhe.\nDaluxia on informoitu.
A main responsbile cannot be removed	Päävastuullista ei voida poistaa
Accept	Hyväksy
Accept eula	Hyväksy <a href='eula.htm' target='_blank'>käyttöehdot</a>
Account expired (admin)	<center><br/><br/>Dalux Field projekti "{0}" on vanhentunut.<br/><br/>Ota yhteyttä Daluxiin aktivoidaksesi projektin uudelleen.<br/><br/>&nbsp;</center>
Account expired (user)	<center><br/><br/>Dalux Field projekti "{0}" on vanhentunut.<br/><br/>Ota yhteyttä ylläpitäjään aktivoidaksesi projektin uudelleen.<br/><br/>&nbsp;</center>
accuracy	tarkkuus
Active user	Aktiivinen käyttäjä
add	Lisää
Add	Lisää
Add building	Lisää rakennus
Add criteria	Lisää kriteeri
Add information	Lisää tietoja
Add new registration	Lisää uusi rekisteröinti
Add new role	Lisää uusi rooli
Add other user	Lisää muita käyttäjiä
Add other user...	Lisää muita käyttäjiä…
Add person	Lisää henkilö
Add persons	Lisää henkilöitä
Add photo	Lisää kuva
Add project user	Lisää projektikäyttäjä
Add quick field	Lisää nopea otsikko
add subordinate warning	Olet lisäämässä alaisen:\n{0} ({1})\n\nJatka?
add subordinate warning	Olet lisäämässä roolia {1} alle sopimuksessa{1}.\n\nHaluatko jatkaa?
Add zone	Lisää vyöhyke
added	Lisätty
Added	Lisätty
Address	Osoite
Address 1	Osoite 1
Address 2	Osoite 2
Address book	Yhteystiedot
address1	Osoite 1
address2	Osoite 2
administration	Hallinto
Administration	Hallinto
Administrator	Ylläpitäjä
administrators	Ylläpitäjä
administrators	Ylläpitäjät
Advanced	Kokenut
Advanced filter	Edistynyt
After	Jälkeen
alert delete role	Oletko varma, että haluat poistaa tämän roolin?\n\nValitut tehtävät {0} jäävät saataville {1} "Käynnissä olevat" alle.
all	Kaikki
All	Kaikki
All (folder)	Kaikki tehtävät
All contracts	Kaikki sopimukset
All tasks	Kaikki tehtävät
All tasks (folder)	Kaikki tehtävät
All tasks will be deleted	Lähettämättömät tehtävät ja luonnokset tulevat katoamaan
All users	Kaikki käyttäjät
all_users	Kaikki käyttäjät
all_users	Kaikki käyttäjät
