"","fr-fr"
"of","/"
"(element ...)",""
"(multiple)",""
"(no deadline)",""
"(No photo)",""
"(No superior)",""
"(No title)",""
"(none)",""
"(Not set)",""
"(Photo)",""
"(room ...)",""
"(unspecified)",""
"{0} of {1}",""
"{0} unsent message",""
"{0} unsent messages",""
"0 tasks for {0}",""
"A client error occured",""
"A main responsbile cannot be removed",""
"Accept",""
"Accept eula",""
"Account expired (admin)",""
"Account expired (user)",""
"accuracy",""
"Active user",""
"add",""
"Add",""
"Add building",""
"Add criteria",""
"Add information",""
"Add new registration",""
"Add new role",""
"Add other user",""
"Add other user...",""
"Add person",""
"Add persons",""
"Add photo",""
"Add project user",""
"Add quick field",""
"add subordinate warning",""
"add subordinate warning",""
"Add zone",""
"added",""
"Added",""
"Address",""
"Address 1",""
"Address 2",""
"Address book",""
"address1",""
"address2",""
"administration",""
"Administration",""
"Administrator",""
"administrators",""
"administrators",""
"Advanced",""
"Advanced filter",""
"After",""
"alert delete role",""
"all",""
"All",""
"All (folder)",""
"All contracts",""
"All tasks",""
"All tasks (folder)",""
"All tasks will be deleted",""
"All users",""
"all_users",""
"all_users",""
"Allow cookies",""
"Allow create tasks",""
"Allow create tasks colleagues",""
"Allow create users",""
"already created",""
"already exists",""
"Altered",""
"Annotate",""
"Anonymous user",""
"Approve",""
"Approve followup",""
"Approved",""
"Approved (date)",""
"Approved (folder)",""
"Approved by",""
"Approved closed (folder)",""
"Approved followup",""
"Approved followup (folder)",""
"Approved, followup by",""
"ApprovedFollowup (folder)",""
"Architecture (model)",""
"Archive (folder)",""
"Are you sure you want to delete building ""{0}""?",""
"Are you sure you want to delete this checklist?",""
"Are you sure you want to delete this control plan?",""
"area",""
"Area (discipline)",""
"AreaPlan",""
"arrow",""
"Ascending A-Z",""
"Assign",""
"Assign to",""
"assigned",""
"Assigned",""
"Assigned by",""
"Assigned to",""
"Assigned to",""
"Assigned to {0}",""
"assignee",""
"Assignee",""
"Associate checklist",""
"Associated checklist",""
"Association comment",""
"Attention to",""
"Auto",""
"Available offline",""
"Awaiting approval (folder)",""
"AwaitingApproval (folder)",""
"back",""
"Back",""
"Bar",""
"Base data",""
"Before",""
"BIM object",""
"BIM object type",""
"bottom right",""
"box",""
"Bring to front",""
"Building",""
"Building incomplete",""
"Building is not ready",""
"Building name",""
"Building overview",""
"Building status",""
"building updated?",""
"building_incomplete",""
"building_incomplete_text",""
"building_model_analysing",""
"building_model_not_uploaded",""
"building_model_pending",""
"building_model_queued_reanalysis",""
"building_model_waiting",""
"building_name",""
"building_name",""
"building_name_cannot_be_empty",""
"building_name_cannot_be_empty",""
"building_overview",""
"buildings",""
"Buildings",""
"by",""
"Can be approved upon creation",""
"Can delete when",""
"cancel",""
"Cancel",""
