"","nb-no"
"of","av"
"(element ...)","(element ...)"
"(multiple)","(flere)"
"(no deadline)","(ingen deadline)"
"(No photo)","Ta bilde"
"(No superior)","(Ingen overordnet)"
"(No title)","(Ingen tittel)"
"(none)","(ingen)"
"(Not set)","(Ikke angitt)"
"(Photo)","Ta på nytt"
"(room ...)","(Rom ...)"
"(unspecified)","(ikke angitt)"
"{0} of {1}","{0} av {1}"
"{0} unsent message","{0} beskjed ikke sendt"
"{0} unsent messages","{0} beskjeder ikke sendt"
"0 tasks for {0}","0 oppgaver for {0}"
"A client error occured","Det skjedde en feil i brukerflaten.\nDalux har blitt underrettet."
"A main responsbile cannot be removed","En hovedansvarlig kan ikke fjernes"
"Accept","Aksepter"
"Accept eula","Aksepter våre <a href='eula.htm' target='_blank'>betingelser</a>"
"Account expired (admin)","<center><br/><br/>Dalux Field-prosjektet ""{0}"" er utløpt.<br/><br/>Kontakt Dalux for å få gjenaktivert prosjektet.<br/><br/>&nbsp;</center>"
"Account expired (user)","<center><br/><br/>Dalux Field-prosjektet ""{0}"" er utløpt.<br/><br/>Kontakt IT-administrator for å få gjenaktivert prosjektet.<br/><br/>&nbsp;</center>"
"accuracy","nøyaktighet"
"Active user","Aktiv bruker"
"add","Tilføy"
"Add","Tilføy"
"Add building","Tilføy bygning"
"Add criteria","Tilføy krav"
"Add information","Tilføy informasjon"
"Add new registration","Tilføy ny registrering"
"Add new role","Tilføy ny rolle"
"Add other user","Tilføy annen bruker"
"Add other user...","Tilføy annen bruker..."
"Add person","Tilføy person"
"Add persons","Tilføy personer"
"Add photo","Tilføy bilde"
"Add project user","Tilføy prosjektbruker"
"Add quick field","Tilføy hurtig-emne"
"add subordinate warning","Du er i ferd med å tilføye en underordnet til:\n{0} ({1})\n\nØnsker du dette?"
"add subordinate warning","Du er i ferd med å tilføye en rolle under {0} på entreprisen {1}.\n\nForsett?"
"Add zone","Tilføy sone"
"added","Tilføyd"
"Added","Tilføyd"
"Address","Adresse"
"Address 1","Adresse 1"
"Address 2","Adresse 2"
"Address book","Kontakter"
"address1","Adresse 1"
"address2","Adresse 2"
"administration","Administrasjon"
"Administration","Administrasjon"
"Administrator","Administrator"
"administrators","Administrator"
"administrators","Administratorer"
"Advanced","Avansert"
"Advanced filter","Avansert"
"After","Etter"
"alert delete role","Er du sikker på at du vil slette denne rollen?\n\nOppgaver tildelt til {0} vil fortsatt være å finne {1} under ""Igangværende"""
"all","Alle"
"All","Alle"
"All (folder)","Alle oppgaver"
"All contracts","Alle entrepriser"
"All tasks","Alle oppgaver"
"All tasks (folder)","Alle oppgaver"
"All tasks will be deleted","Ikke sendte oppgaver og kladder vil bli mistet"
"All users","Alle brukere"
"all_users","Alle brukere"
"all_users","Alle brukere"
"Allow cookies","Tillat cookies (<a href='cookies.htm' target='_blank'>les mer</a>)"
"Allow create tasks","Kan opprette oppgaver"
"Allow create tasks colleagues","Kan opprette oppgaver til kollegaer"
"Allow create users","Kan opprette brukere"
"already created","eksisterer allerede"
"already exists","eksisterer allerede"
"Altered","Endret"
"Annotate","Marker på foto"
"Anonymous user","Anonym bruker"
"Approve","Godkjenn, lukk"
"Approve followup","Godkjenn, oppfølgning"
"Approved","Godkjent, lukket"
"Approved (date)","Godkjent"
"Approved (folder)","Godkjente"
"Approved by","Godkjent, lukket av"
"Approved closed (folder)","Godkjente, lukkede"
"Approved followup","Godkjent, oppfølgning"
"Approved followup (folder)","Godkjente, oppfølgning"
"Approved, followup by","Godkjent, oppfølgning av"
"ApprovedFollowup (folder)","Godkjente, oppfølgning"
"Architecture (model)","Arkitekt"
"Archive (folder)","Avsluttet"
"Are you sure you want to delete building ""{0}""?","Er du sikker på at du vil slette bygningen ""{0}""?"
"Are you sure you want to delete this checklist?","Er du sikker på at du vil slette denne sjekklisten?"
"Are you sure you want to delete this control plan?","Er du sikker på at du vil slette denne kontrollplanen?"
"area","Areal"
"Area (discipline)","Område"
"AreaPlan","Brutto-/nettoplaner"
"arrow","Pil"
"Ascending A-Z","Stigende A-Z"
"Assign","Tildel"
"Assign to","Tildel til"
"assigned","Tildelt"
"Assigned","Tildelt"
"Assigned by","Tildelt av"
"Assigned to","Tildelt til"
"Assigned to","Tildelt til"
"Assigned to {0}","Tildelt til <u>{0}</u>"
"assignee","Tildelt"
"Assignee","Tildelt"
"Associate checklist","Tilknytt sjekkliste"
"Associated checklist","Sjekklistetilknytning"
"Association comment","Kommentar til tilknytning"
"Attention to","Til"
"Auto","Auto"
"Available offline","Tilgjengelig offline"
"Awaiting approval (folder)","Avventer godkjennelse"
"AwaitingApproval (folder)","Avventer godkjennelse"
"back","Tilbake"
"Back","Tilbake"
"Bar","Søyle"
"Base data","Stamdata"
"Before","Før"
"BIM object","Bygningsdel"
"BIM object type","Bygningsdelstype"
"bottom right","nederst til høyre"
"box","Kasse"
"Bring to front","Plasser forrest"
"Building","Bygning"
"Building incomplete","Bygning ikke klar"
"Building is not ready","Bygningen er ikke klar"
"Building name","Bygningsnavn"
"Building overview","Bygningsoversikt"
"Building status","Bygningsstatus"
"building updated?","Bygningen ble ikke funnet. Posisjonen må oppdateres.<br/><br/>Har tegningsmaterialet blitt endret?"
"building_incomplete","Bygning ikke klar"
"building_incomplete_text","Bygningsmodellen ble nylig oppdatert og klargjøres for øyeblikket til visning. Visning er derfor ikke tilgjengelig akkurat nå."
"building_model_analysing","Bygningen oppdateres"
"building_model_not_uploaded","Det er ennå ikke lagt inn en bygningsmodell."
"building_model_pending","Oppdatering av bygning er planlagt."
"building_model_queued_reanalysis","Bygningen oppdateres igjen og er i kø."
"building_model_waiting","Oppdatering av bygning er i kø."
"building_name","Bygningsnavn"
"building_name","Bygningsnavn"
"building_name_cannot_be_empty","Bygningsnavn kan ikke stå tomt!"
"building_name_cannot_be_empty","Bygningsnavn kan ikke stå tomt!"
"building_overview","Bygningsoversikt"
"buildings","Bygninger"
"Buildings","Bygninger"
"by","av"
