"source","target"
"﻿""""","sv-se"
"of","av"
"(element ...)","(element ...)"
"(multiple)","(flera)"
"(no deadline)","(ingen tidsgräns)"
"(No photo)","Ta foto"
"(No superior)","(Ingen överordnad)"
"(No title)","(Ingen titel)"
"(none)","(ingen)"
"(Not set)","(inte specifierad)"
"(Photo)","Ta om"
"(room ...)","(rum ...)"
"(unspecified)","(inte specifierad)"
"{0} of {1}","{0} av {1}"
"{0} unsent message","{0} osänt meddelande"
"{0} unsent messages","{0} osända meddelanden"
"0 tasks for {0}","0 uppgifter för {0}"
"A client error occured","Ett kundfel har uppstått.nDalux har blivit informerad."
"A main responsbile cannot be removed","En huvudansvarig kan inte tas bort"
"Accept","Godkänn"
"Accept eula","Godkänn våra <a href='eula.htm' target='_blank'>villkor</a>"
"Account expired (admin)","<center><br/><br/>Dalux Field projektet ""{0}"" har löpt ut.<br/><br/>Kontakta Dalux för att återaktivera ditt projekt.<br/><br/>&nbsp;</center>"
"Account expired (user)","<center><br/><br/>Dalux Field projektet ""{0}"" har löpt ut.<br/><br/>Kontakta IT administratören för att återaktivera ditt projekt.<br/><br/>&nbsp;</center>"
"accuracy","noggranhet"
"Active user","Aktiv användare"
"add","Lägg till"
"Add","Lägg till"
"Add building","Lägg till byggnad"
"Add criteria","Lägg till kriterier"
"Add information","Lägg till information"
"Add new registration","Lägg till ny registrering"
"Add new role","Lägg till ny roll"
"Add other user","Lägg till andra användare"
"Add other user...","Lägg till andra användare…"
"Add person","Lägg till person"
"Add persons","Lägg till personer"
"Add photo","Lägg till bild"
"Add project user","Lägg till projektanvändare"
"Add quick field","Lägg till snabb ämne"
"add subordinate warning","Du håller på att lägga till en underordnad till:n{0} ({1})nnFortsätt?"
"add subordinate warning","Du håller på att lägga till en roll under {1} på kontraktet {1}.nnVill du fortsätta?"
"Add zone","Lägg till zon"
"added","Tillagd"
"Added","Tillagd"
"Address","Adress"
"Address 1","Adress 1"
"Address 2","Adress 2"
"Address book","Kontakter"
"address1","Adress 1"
"address2","Adress 2"
"administration","Administration"
"Administration","Administration"
"Administrator","Administratör"
"administrators","Administratör"
"administrators","Administratörer"
"Advanced","Avancerad"
"Advanced filter","Avancerad"
"After","Efter"
"alert delete role","Är du säker på att du vill radera denna roll?nnUppgifter som tilldelats {0} förblir tillgänglig för {1} under ""Pågående""."
"all","Alla"
"All","Alla"
"All (folder)","Alla uppgifter"
"All contracts","Alla kontrakt"
"All tasks","Alla uppgifter"
"All tasks (folder)","Alla uppgifter"
"All tasks will be deleted","Oskickade uppgifter och utkast kommer att gå förlorade"
"All users","Alla användare"
"all_users","Alla användare"
"all_users","Alla användare"
"Allow cookies","Acceptera cookies (<a href='cookies.htm' target='_blank'>läs mera</a>)"
"Allow create tasks","Kan skapa uppgifter"
"Allow create tasks colleagues","Kan skapa uppgifter åt kollegorna"
"Allow create users","Kan skapa användare"
"already created","redan skapat"
"already exists","finns redan"
"Altered","Ändrad"
"Annotate","markera på foto"
"Anonymous user","anonym användare"
"Approve","Godkänn, stäng"
"Approve followup","Godkänn, uppföljning"
"Approved","Godkänd, stängt"
"Approved (date)","Godkända"
"Approved (folder)","Godkända"
"Approved by","Godkänd, stängt av"
"Approved closed (folder)","Godkända, stängda"
"Approved followup","Godkänd, uppföljning"
"Approved followup (folder)","Godkända, uppföljning"
"Approved, followup by","Godkänd, uppföljning av"
"ApprovedFollowup (folder)","Godkända, uppföljning"
"Architecture (model)","Arkitektur"
"Archive (folder)","Avslutat"
"Are you sure you want to delete building ""{0}""?","Är du säker på att du vill radera byggnad ""{0}""?"
"Are you sure you want to delete this checklist?","Är du säker på att du vill radera denna checklista?"
"Are you sure you want to delete this control plan?","Är du säker på att du vill radera denna kontrollplan?"
"area","Område"
"Area (discipline)","Område"
"AreaPlan","Områdesplaner"
"arrow","Pil"
"Ascending A-Z","Stigande A-Ö"
"Assign","Tilldela"
"Assign to","Tilldela till"
"assigned","Tilldelad"
"Assigned","Tilldelad"
"Assigned by","Tilldelad av"
"Assigned to","Tilldelad till"
"Assigned to","Tilldelad till"
"Assigned to {0}","Tilldelad till <u>{0}</u>"
"assignee","Tilldelade"
"Assignee","Tilldelade"
"Associate checklist","Associate with checklist"
"Associated checklist","Checklista anknytning"
"Association comment","Comment on association"
"Attention to",""
"Auto","Auto"
"Available offline","Tillgänglig offline"
"Awaiting approval (folder)","Väntar på godkännande"
"AwaitingApproval (folder)","Väntar på godkännande"
"back","Tillbaka"
"Back","Tillbaka"
"Bar","Kolonn"
"Base data","Stamdata"
"Before","Före"
"BIM object","Byggnadsdel"
"BIM object type","Byggnadsdelstyp"
"bottom right","nederst till höger"
"box","Låda"
"Bring to front","För framåt"
"Building","Byggnad"
"Building incomplete","Byggnad otillgänglig"
"Building is not ready","Byggnaden är inte redo"
"Building name","Byggnadsnamn"
"Building overview","Byggnadsöversigt"
"Building status","Byggnadsstatus"
"building updated?","Byggnaden blev inte hittad. Platsen skall uppdateras.<br/><br/>Har ritningsmaterialet uppdaterats?"
"building_incomplete","Byggnad otillgänglig"
"building_incomplete_text","yggnaden har nyligen uppdaterats och förbereds för visning på den mobila enheten. Byggnaden är inte tillgänglig för en stund."
"building_model_analysing","Byggnaden uppdateras"
"building_model_not_uploaded","Byggningsmodellen är inte laddad upp än"
"building_model_pending","Byggnaden är planerad för uppdatering"
"building_model_queued_reanalysis","Byggnaden är för nuvarande i kö för ny analys"
"building_model_waiting","Byggnaden är för nuvarande i kö för analys"
"building_name","Byggnadsnamn"
"building_name","Byggnadsnamn"
"building_name_cannot_be_empty","Byggnadsnamn får inte vara tomt!"
"building_name_cannot_be_empty","Byggnadsnamn får inte vara tomt!"
"building_overview","Byggnadsöversigt"
"buildings","Byggnader"
"Buildings","Byggnader"
"by","av"
"Can be approved upon creation","Kan godkännas när den skapas"
"Can delete when","Det är endast möjligt att radera alla uppgifter när det finns mindre än 50 uppgifter i projektet."
"cancel","Avbryt"
"Cancel","Avbryt"
"CANCEL","AVBRYT"
"Cancel changes","Radera ändringar"
"Cannot remove project owner","Projektägare kan inte tas bort"
"Category","Kategori"
"Caution","Varning"
"CeilingPlan","Innertak"
"change","Ändra"
"Change","Ändra"
"Change location","Byt plats"
"Change to automatic publishing","Byt till automatisk publicering"
"Change to manual publishing","Byt till manuell publicering"
"change...","Ändra"
"changed","Ändrad"
"changed from","Ändrad från"
"changed_by","Ändrad av"
"changed_from","Ändrad från"
"Checklist","Checklista"
"Checklist association changed","Checklist association changed"
"Checklist changes will be saved","Ändringar i checklistan kommer att sparas.n Vill du fortsätta?"
"Checklist closed","Checklistan klar"
"Checklist no.","Checklista nr."
"Checklist report","Checklista rapport"
"Checklist template","Checklista mall"
"Checklist template order","Checklista mall ordningsföljd"
"Checklists","Checklistor"
"Checklists disabled","Checklistor inaktiverat"
"Checklists enabled","Checklistor aktiverat"
"Choose","Välj"
"Choose...","Välj"
"city","Stad"
"City","Stad"
"City","Stad"
"Clear","Återställ"
"Clear annotations","Återställ markering"
"Click on the map to place origo","Klicka på kartan för att placera origo"
"Click to open","Klicka för att öppna"
"Client error","Kundfel"
"close","Stäng"
"Close","Stäng"
"Closed (singular)","Avslutat"
"Color","Färg"
"Color code","Färgkodning"
"Color code changed","Färgkodning ändrad"
"Combined","Kombinerad"
"Combined report","Kombinerad rapport"
"Comment","Kommentar"
"Compact","Kompakt"
"Companies","Företag"
"company","Företag"
"Company","Företag"
"Company name","Företagsnamn"
"Complete","Färdig"
"Completed","Färdigrapporterad"
"Completed (checklist)","Avslutat"
"Completed (folder)","Färdigrapporterad"
"Completed by","Rättat av"
"Complexity","Komplexitet"
"Compressing image","Komprimerar bilden…"
"Compressing image","Komprimerar bilden…"
"Confirm","Bekräfta"
"Confirm delete construction","Är du säker på att du vill radera denna entreprenad?"
"confirm delete site","Är du säker på att du vill ta bort den här sidan?"
"Confirm deletion","Bekräfta radering"
"Confirm password","Bekräfta lösenord"
"confirm_password","Bekräfta lösenord"
"Confirmation required","Bekräftelse krävs"
"Connection problems","Anslutningsproblem"
"Connection problems","AnslutningsproblemnnFörsök igen..."
"Connection problems","Anslutningsproblem"
"connection_lost","Anslutningsproblem"
"connection_lost_text","Ingen internetuppkoppling"
"construction","Entreprenad"
"Construction","Entreprenad"
"constructions","Entreprenadsavtal"
"Constructions","Entreprenadsavtal"
"Contact Dalux","Kontakta Dalux"
"Contact information","Kontaktinformation"
"Contact IT Administrators","Kontakta IT adminstratören"
"Contains","Innehåller"
"Continue logout","Logga ut?"
"Contract","Entreprenad"
"Contract management","Hantering av entreprenad"
"Contractor","Entreprenör"
"Control plan","Kontrollplan"
"Control plan area","Kontrollplan för området"
"Control plans","Kontrollplaner"
"Copy from other project","Kopiera från ett annat projekt"
"copy_link","Kopiera länk"
"Correspondence","Korrespondens"
"Correspondence report","Komprimerad rapport"
"Correspondence report (filename)","Komprimerad rapport"
"could not center on gps description","Det gick inte att fokusera på GPS-platsen, då den ligger utanför ritningen."
"could not center on gps title","GPS-position långt borta"
"Could not open attachment","Kunde inte �ppna bifogad fil nr. {0}.\n �r filen trasig?"
"Could not reach the server","Kan inte nå servern. Är du ansluten till internet?"
"could_not_find_comment","Det gick inte att hitta kommentarer som anges i länken.nn  Omdirigerar till användarplatsen."
"Country","Land"
"Craftsman","Hantverkare"
"Create","Skapa"
"Create Construction","Skapa entreprenad"
"Create demo user","Skapa demo användare"
"Create empty checklist","Skapa tom checklista"
"Create empty control plan","Skapa tom kontrollplan"
"Create inspection","Spara rapport"
"Create new","Skapa ny"
"Create role","Skapa roll"
"Create roles","Skapa roller"
"Create send","Skapa, sänd"
"Create user","Skapa användare"
"Create user","Skapa användare"
"Create user","Skapa användare"
"Create user","Skapa användare"
"Create user","Skapa användare"
"Create user","Skapa användare"
"Create user","Skapa användare"
"create:","Skapa: {0}"
"created","Skapad"
"Created","Skapad"
"Created by","Skapad av"
"Created by (email)","Skapad av  (e-mail)"
"Created only via checklists","Skapas endast via checklistor"
"created_by","Skapad av"
"Creates tasks","Skapar uppgifter"
"credetials_fail","Användarnamn och kod kunde inte verifieras"
"Criteria","Kriterier"
"custom_filter","Användarfilter"
"Daily summary","Daglig sammanfattning"
"Dalux administration","Dalux administration"
"Dalux daily","Dalux Dagligt"
"Dashboard","Dashboard"
"Data fields","datafält"
"Data removed from {0} checklists","Sparas ändringarna, kommer det att <font color=""#DD0000"">avlägsnas</font> data från {0} checklistor"
"Database","Database"
"date","Datum"
"Date","Datum"
"dateformat","d. MMM yyyy, HH:mm"
"dateformat_air","d. MMM yyyy, HH:mm"
"dateformat_air_checklist","d. MMM yyyy, HH:mm"
"dateformat_deadline","d. MMM yyyy"
"dateformat_short","d. MMM"
"dateformatDayYear","d. MMMM yyyy"
"deadline","Deadline"
"Deadline","Deadline"
"Deadline changed","Deadline ändrad"
"Default description","Standardbeskrivning"
"Default description","Standardbeskrivning"
"Deficiency","Brist"
"Delegated to","Delegeras till"
"Delete","Radera"
"delete","Radera"
"Delete all","Radera allt"
"Delete all tasks","Radera alla uppgifter"
"Delete building","Radera byggnad"
"Delete checklist","Radera checklista"
"Delete control plan","Radera kontrollplan"
"Delete draft","Radera utkast"
"Delete Draft","Radera utkast"
"Delete draft","Radera utkast"
"Delete draft (draft)","Radera utkast"
"Delete draft (update)","Radera utkast"
"Delete draft alternative","Radera utkast"
"Delete drawing","Radera ritning"
"Delete from outbox","Radera från utkorgen"
"Delete photo","Radera bild"
"Delete selection","Radera valda"
"Delete tasks","Radera uppgifter"
"Delete view","Radera vy"
"Delete x tasks","Radera uppgifter: {0}x {1}"
"Delete zone","Radera zon"
"Demo user","Demo användare"
"Descending Z-A","Fallande Z-A"
"description","Beskrivning "
"Description","Beskrivning "
"Detail","Detalj"
"Detail reports","Detaljrapporter"
"Detailed","Detaljerad"
"Deviation","Avvikelse"
"DF",""
"Disabled","Disabled"
"Discard changes","Ignorera ändringar"
"Discipline","Övervakningsområde"
"Discipline (drawing)","Övervakningsområde"
"Discipline already exists","Övervakningsområde finns redan för denna entreprenad"
"Disciplines","Övervakningsområden"
"Displays","Visar"
"Do you accept the invitation to the project {0}?","Accepterar du inbjudan till projektet {0}?"
"Do you want to save changes to the draft?","Vill du spara ändringar i utkastet?"
"Do you want to save the draft?","Vill du spara utkastet?"
"document file types","*.pdf"
"Documents","Dokumenter"
"Does not contain","Innehåller inte"
"Done","Färdig"
"Download","Ladda ner"
"Download PDF","Ladda ner PDF"
"Downloading checklist...","Ladda ner checklista…"
"Downloading report...","Laddar ner rapport…"
"Downloading task {0} of {1}","Laddar ner uppgift {0} av {1}"
"Draft","Utkast"
"Draft early version, change location","<center>OBS!<br/><br/>Utkastet är skapat med en tidigare version av Dalux Field. Uppdatera platsen.<br/><br/>Kom ihåg att uppdatera din Dalux Field till den senaste versionen</center>"
"Drafts","Utkast"
"Drawing","Ritning"
"Drawing information","Ritningsinformation"
"Drawing updated {0}","Drawing updated {0}"
"Drawing with tasks","Ritning med uppgifter"
"Drawings","Ritningar"
"dRofus integration","dRofus integration"
"Copy row","Kopiera rad"
"Duplicate",""
"DUT_MILLIMETERS","mm"
"DUT_SQUARE_METERS","m²"
"DV",""
"Economy","Ekonomi"
"Economy changed","Ekonomin förändrad"
"edit","Redigera"
"Edit","Redigera"
"Edit building","Redigera byggnad"
"Edit building model file","Redigera byggnadsmodellen"
"Edit persons","Redigera personer"
"Edit photo","Redigera foto"
"Edit project data","Redigera projektdata"
"Edit properties","Redigera egenskaper"
"Edit role","Redigera roller"
"Edit site data","Redigera siddata"
"Edit user","Redigera användare"
"Edit zone","Redigera zon"
"Edit zones","Redigera zoner"
"Edit contract","Redigera entreprenad"
"element updated?","Byggnadsdelen blev inte hittad.Platsen skall uppdateras.<br/><br/>Har ritningsmaterialet uppdaterats?"
"element_properties","Egenskaper"
"Elevation","Höjd"
"Elevation lower","Höjd, lägre"
"Elevation upper","Höjd, övre"
"ellipse","Ellips"
"email","E-post"
"Email","E-post"
"Email for new tasks","E-post för nya uppgifter"
"Email log","E-post logg"
"Email settings","E-post inställningar"
"Email settings (ribbon)","E-post inställningar"
"Email with daily summary","E-post med daglig sammandrag"
"email:","E-post"
"empty_list","Listan är tom"
"Enable","Möjliggör"
"Enable checklists","Möjliggör checklistor"
"Enable photos","Möjliggör fotos"
"Enabled","Enabled"
"EngineeringPlan","Ingenjörsplaner"
"Enter discpline","Ange övervakningsområde"
"Enter title","Ange titel"
"enterprise","Företag"
"Entire list","Hela listan"
"Equals","Lika med"
"error","Fel"
"Error","Fel"
"Error","Fel"
"Error downloading offline data","Fel vid hämtning av uppgifter"
"Excel","Excel"
"Excel and locations","Excel och platser"
"Excel and locations","Excel och platser"
"Existing","Existerande"
"existing","Existerande"
"existing task restricted to {0}","Existerande uppgift: Begränsad till '{0}'"
"Export","Exportera"
"Export all","Exportera alla"
"Export failed","Export misslyckades"
"Export overview","Exportera översikt"
"Fictive user","Fiktiv användare"
"Field definition","Fält definition"
"Field type","Fält typ"
"Fields","Fält"
"File","Fil"
"File could not be downloaded","Filen kunde inte laddas ner"
"File to upload","Fil att ladda upp"
"Filename","Filnamn"
"Files","Filer"
"Files to upload","Fil att ladda upp"
"Fill in","Utfyll"
"Filters","Filter"
"find","Hitta"
"First levels","Första"
"First name","Förnamn"
"first_name","Förnamn"
"Floor","Våning"
"Floor name","Våningsnamn"
"Floor plan","Våning"
"Floor plans","Våningar"
"Floor properties","Egenskaper för våning"
"floor updated?","Planritningen blev inte hittad.Platsen skall uppdateras.<br/><br/>Har ritningsmaterialet uppdaterats?"
"floor_name","Våningsnamn"
"Floorplan","Planritning"
"FloorPlan","Planritningar"
"floorplans","Planritningar"
"Floorplans","Planritningar"
"floors","Planer"
"Floors","Planer"
"flow_configuration","Tillämpat flow"
"flow_configuration_definition","Definition av flow"
"Folder","Mapp"
"Folder tools","Mappverktyg"
"Foreman","Förman"
"found","funnen"
"From camera","Från kamera"
"From drawing","Från ritning"
"From gallery","Från galleri"
"General problem","Allmän problem"
"Generate report","Generera rapport"
"Generating document","Genererar dokument"
"Generating picture","Genererar bild"
"Generating report","Genererar rapport…"
"Generating report {0}","Genererar rapport {0}"
"Get Revit plug-in","Få Revit plug-in"
"GIS location","GIS placering"
"GIS placement not chosen","GIS placering inte vald"
"Go to location","Visa läge"
"gps accuracy timeout description","Det gick inte att aktivera GPS. Kontrollera enhetens inställningar för att se till att GPS är aktiverad och signalen är ok."
"gps accuracy timeout title","GPS"
"gps accuracy too coarse description","Noggrannheten på GPS är alltför oprecis för att visas (över 40 meter)"
"gps accuracy too coarse title","GPS"
"gps not enabled description","Det gick inte att aktivera GPS. Kontrollera enhetens inställningar för att se till att GPS är aktiverad"
"gps not enabled title","GPS"
"Greater than","Större än"
"Greater than equals","Större än är lika med"
"Green","Grön"
"Grid","Rutnät"
"Header","Rubrik"
"height","Höjd"
"Help text","Hjälptext"
"Home","Hem"
"i_accept","Jag accepterar att använda denna gratistjänst &quot;som är&quot;"
"ID","ID"
"image file types","*.gif;*.png;*.jpg;*.jpeg"
"images","bilder"
"Images","bilder"
"Import","Importera"
"Import complete","Hämtning av projektinställningar var lyckat"
"Import from","Importera från"
"Import from file","Importera från fil"
"Import from filesystem","Importera från filsystemet"
"Import from projects","Importera från projekt"
"Inactive user","Inaktiv användare"
"Inbox","Inbox"
"Inbox (folder)","Inbox"
"Include signing field",""
"Include attachments",""
"Include tasks",""
"Info","Info"
"info 500+ options","Det finns mer än 2000 unika alternativ.n Använd sökfiltret under."
"info add building name","Byggnadsnamn får inte vara tomt!"
"info admin edits work description","Endast administratörer kan redigera arbetsbeskrivningar. n Administratörer listas under Användare (under Inställningar i menyn till vänster)."
"info another user created this task","En annan användare har skapat denna uppgift. Endast denna användare kan se eller redigera uppgiften."
"info app update","Uppdatera Dalux Field<br/><br/>Kom ihåg att sykronisera oskickat data innan du uppdaterar"
"info batch deny assign wd","Det är endast möjligt att tilldela flera uppgifter på en gång när alla uppgifter är inom samma område och arbetsbeskrivning. n n Begränsa urvalet. Du kanske vill använda ett filter på kolumner Tillsyn och Arbetsbeskrivning."
"info batch deny reply","Det är endast möjligt {0} flera uppgifter på en gång, så länge som de utvalda uppgifterna kan ändras av dig.nnHar du skrivrättigheter till de valda uppgifterna? n Valde du rätt mapp?nnTa bort urval av uppgifter du inte längre kan ändra."
"info building incomplete","Byggnaden har nyligen uppdaterats och förbereds för närvarande för visning på den mobila enheten. Byggnaden är inte tillgänglig för en stund."
"info building queued analysis","Byggnaden uppdateras. Försök igen senare."
"info building update failed","Byggnadens uppdatering misslyckades. Kontakta Dalux."
"info building updating 3d","Ritningar uppdateras. Försök igen senare."
"info cannot edit work description","Arbetsbeskrivningen kan endast ställas in om den nuvarande rollens förman inte har någon arbetsbeskrivning. Endast administratörer kan ändra arbetsbeskrivningar för sig själva."
"info checklist conflict","<p align=""center""> Checklista ändrades på annat håll. <br/> Förändringarna kommer att skrivas över genom att klicka på Spara. <br/> <b> Klicka för att visa ändringar </ b> </ p>"
"info checklist not sent retry","Checklistan sparades inte. <br/><br/> Klicka spara för att försöka igen."
"info checklist offline","Denna checklista är inte tillgänglig offline"
"info commit checklist first","<P ALIGN=""center"">Foto kunde inte kopplas till checklista. <br/> Ladda upp checklista eller ta bort foton. </ P>"
"info company has users","Kan ej radera ett företag med användare"
"info connection lost","Ingen internetuppkoppling"
"info contract uses company","Företag med ett eller flera entreprenader"
"info credetials fail","Användarnamn och lösenord kunde inte verifieras"
"info demo site","Detta är en demoprojekt. Du är därför inte tillåtet att ändra BIM inställningar."
"info document ready","Dokumentet är redo."
"info document ready download","Dokumentet är redo.Ladda ner?"
"info email not validated","e-postadress har inte bekräftats"
"info empty list","Listan är tom"
"info field missing"," '{0}' saknas"
"info image load failed","Uppladdning av bild misslyckades"
"info invalid email","E-postadressen är ogiltig"
"info invalid password","Ditt lösenord bör innehålla minst 6 tecken."
"info invalid roleworkdescription delete","Kan inte ta bort arbetsbeskrivningar som är i bruk."
"info invited","<p align=""center"">Inbjudan till projekt '{0}'</p>"
"info isnan {0}","Värdet för ""{0}"" är inte ett nummer"
"info logged in","Du är nu inloggad"
"info logged out","Du har loggat ut"
"info mail sent {0}","Ett e-postmeddelande skickades till '{0}'"
"info must select assignee","En ansvarig måste väljas."
"info must update task","Behöver internetuppkoppling för att uppdatera denna uppgift."
"info new user added mail sent","Vi har skickat en inbjudan via mail. nn Användaren aktiveras när e-postadressen har bekräftats via länken i e-postinbjudan och användaren skapats i systemet."
"info no bim","Ingen BIM, CAD-eller PDF-filer. Ladda upp från Inställningar."
"info no company selected","Du har inte valt ett företag."
"info no creator role","<p align=""center""> Projektinställningar har ändrats <br/> Du har inte längre tillstånd att skapa uppgifter </ p>"
"info no delete company","Företaget kan inte tas bort eftersom användare är förknippade med detta företag. nn Ta bort användare från företaget först."
"info no delete role","Kan inte ta bort roll med underordnade. nnOm en ny person ersätter nuvarande personen, bör den roll inte tas bort. Klicka på Redigera för att ersätta personen."
"info no delete user organisation","Användaren kan inte tas bort eftersom användaren är en del av organisationen. nnRadera användare från organisationen för att ta bort."
"info no delete user substitute","Användaren kan inte tas bort eftersom användaren står för: {0} ({1}) n n Ta bort användare från organisationen först."
"info no discipline","Du måste ange ett övervakningsområde."
"info no permission","Du har inte tillstånd att redigera här."
"info no title","En titel måste anges."
"info no update role","<p align=""center""> Rapporten har förändrats <br/> Du kan inte längre uppdatera denna rapport. <br/> Har fallet ändrats eller stängts? </ p>"
"info none selected","Inga uppgifter valda"
